Make,sourceTypeName
OTHER/UNK,Motorcycle
FORD,Passenger Car
PLYMOUTH,Passenger Truck
CHEVROLET,Light Commercial Truck
Unk,Other Buses
GMC,Transit Bus
WHITE,School Bus
INFINITI,Refuse Truck
MERCEDES-BENZ,Single Unit Short-haul Truck
VOLKSWAGEN,Single Unit Long-haul Truck
DODGE,Motor Home
JEEP,Combination Short-haul Truck
ACURA,Combination Long-haul Truck
HONDA,
CHRYSLER,
CADILLAC,
NISSAN,
TOYOTA,
MAZDA,
BMW,
HYUNDAI,
LEXUS,
KIA,
SCION,
PONTIAC,
FREIGHTLINER,
RAM,
AUDI,
MINI,
HINO,
MITSUBISHI,
INTERNATIONAL,
SUBARU,
BUICK,
TESLA,
MERCURY,
LINCOLN,
VOLVO,
HUMMER,
OLDSMOBILE,
SATURN,
ISUZU,
SUZUKI,
LAND ROVER,
PORSCHE,
UNKNOWN,
JAGUAR,
FIAT,
GENESIS,
SAAB,
ALFA ROMEO,
GEO,
WORKHORSE,
AMERICAN LAFRANCE,
NORTH AMERICAN BUS INDUSTRIES,
PETERBILT,
MOTOR COACH INDUSTRIES,
EL DORADO,
NEW FLYER,
KENWORTH,
GILLIG,
BLUE BIRD,
AUTOCAR,
PIERCE,
IC BUS,
PROTERRA,
FWD,
NEOPLAN,
OSHKOSH,
ORION,
SEAGRAVE,
STERLING,
FLXIBLE TRANSIT COACHES,
MACK,
TMC,
WHITE/GMC,
KALMAR,
PREVOST,
MASERATI,
BENTLEY,
ROLLS-ROYCE,
FERRARI,
ARBOC,
POLESTAR,
KOVATCH MOBLIE EQUIPMENT CORP.,
RIVIAN,
THOMAS BUS,
ASTON MARTIN,
IC BUS LLC,
KOVATCH,
SMART,
LAMBORGHINI,
GREENPOWER MOTOR,
CRANE CARRIER,
BYD COACH AND BUS,
ALEXANDER DENNIS,
ROADMASTER,
CATERPILLAR,
ORANGE EV,
VPG,
AM GENERAL,
WESTERN STAR,
NORTH AMERICAN,
SPARTAN,
MOTOR COACH IND,
EMERGENCY ONE,
LUCID,
CAPACITY,
TICO,
BLUEBIRD,
VAN HOOL,
MAN TRUCK AND BUS CORPORATION,
CRUISE,
TROLLEY,
LODAL,
HME,
ALLIANZ,
GLOBAL ENVIRONMENTAL,
XOS,
BRIGHTDROP,
LOTUS,
SPECIAL CONSTRUCTION,
MG,
COUNTRY COACH,
